,0,1,accuracy,macro avg,weighted avg
precision,0.7820232896652111,0.5888225843470277,0.6351422090385622,0.6854229370061193,0.6854397927647407
recall,0.37491277041172366,0.8954624781849913,0.6351422090385622,0.6351876242983574,0.6351422090385622
f1-score,0.5068396226415095,0.710468014400443,0.6351422090385622,0.6086538185209762,0.6086360530008438
support,5732.0,5730.0,0.6351422090385622,11462.0,11462.0
