,0,1,accuracy,macro avg,weighted avg
precision,0.757496251874063,0.727027027027027,0.7414712153518124,0.742261639450545,0.7423428474058943
recall,0.7143867090844821,0.7688460164344408,0.7414712153518124,0.7416163627594614,0.7414712153518124
f1-score,0.7353101691831908,0.7473519708282689,0.7414712153518124,0.7413310700057298,0.7412989756516652
support,2829.0,2799.0,0.7414712153518124,5628.0,5628.0
