,0,1,accuracy,macro avg,weighted avg
precision,0.8130612244897959,0.7583385777218377,0.7821606254442075,0.7856999011058168,0.7851748437274462
recall,0.7217391304347827,0.8403068340306834,0.7821606254442075,0.781022982232733,0.7821606254442075
f1-score,0.76468330134357,0.797221303341052,0.7821606254442075,0.780952302342311,0.7812645006557197
support,2760.0,2868.0,0.7821606254442075,5628.0,5628.0
